,type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,total_acidity
95,white,7.1,0.26,0.29,12.4,0.044000000000000004,62.0,240.0,0.9969,3.04,0.42,9.2,0,7.6499999999999995
96,white,6.0,0.34,0.66,15.9,0.046,26.0,164.0,0.9979,3.14,0.5,8.8,0,7.0
97,white,8.6,0.265,0.36,1.2,0.034,15.0,80.0,0.9913,2.95,0.36,11.4,1,9.225
98,white,9.8,0.36,0.46,10.5,0.05604157043879931,4.0,83.0,0.9956,2.89,0.3,10.1,0,10.620000000000001
99,white,6.0,0.34,0.66,15.9,0.046,26.0,164.0,0.9979,3.14,0.5,8.8,0,7.0
100,white,7.4,0.25,0.37,13.5,0.06,52.0,192.0,0.9975,3.0,0.44,9.1,0,8.02
101,white,7.1,0.12,0.32,9.6,0.054000000000000006,64.0,162.0,0.9962,3.4,0.41,9.4,0,7.54
102,white,6.0,0.21,0.24,12.1,0.05,55.0,164.0,0.997,3.34,0.39,9.4,0,6.45
103,white,7.5,0.305,0.4,18.9,0.059000000000000004,44.0,170.0,1.0,2.99,0.46,9.0,0,8.205
104,white,7.4,0.25,0.37,13.5,0.06,52.0,192.0,0.9975,3.0,0.44,9.1,0,8.02
105,white,7.3,0.13,0.32,14.4,0.051,34.0,109.0,0.9974,3.2,0.35,9.2,0,7.75
106,white,7.1,0.12,0.32,9.6,0.054000000000000006,64.0,162.0,0.9962,3.4,0.41,9.4,0,7.54
107,white,7.1,0.23,0.35,16.5,0.04,60.0,171.0,0.9990000000000001,3.16,0.59,9.1,0,7.68
108,white,7.1,0.23,0.35,16.5,0.04,60.0,171.0,0.9990000000000001,3.16,0.59,9.1,0,7.68
109,white,6.9,0.33,0.28,1.3,0.051,37.0,187.0,0.9927,3.27,0.6,10.3,0,7.510000000000001
110,white,6.5,0.17,0.54,8.5,0.08199999999999999,64.0,163.0,0.9959,2.89,0.39,8.8,0,7.21
111,white,7.2,0.27,0.46,18.75,0.052000000000000005,45.0,255.0,1.0,3.04,0.52,8.9,0,7.930000000000001
112,white,7.2,0.31,0.5,13.3,0.055999999999999994,68.0,195.0,0.9982,3.01,0.47,9.2,0,8.01
113,white,6.7,0.41,0.34,9.2,0.049,29.0,150.0,0.9968,3.22,0.51,9.1,0,7.45
114,white,6.7,0.41,0.34,9.2,0.049,29.0,150.0,0.9968,3.22,0.51,9.1,0,7.45
115,white,5.5,0.485,0.0,1.5,0.065,8.0,103.0,0.9940000000000001,3.63,0.4,9.7,0,5.985
116,white,6.0,0.31,0.24,3.3,0.040999999999999995,25.0,143.0,0.9914,3.31,0.44,11.3,0,6.55
117,white,7.0,0.14,0.4,1.7,0.035,16.0,85.0,0.9911,3.19,0.42,11.8,0,7.54
118,white,7.2,0.31,0.5,13.3,0.055999999999999994,68.0,195.0,0.9982,3.01,0.47,9.2,0,8.01
119,white,7.3,0.32,0.48,13.3,0.06,57.0,196.0,0.9982,3.04,0.5,9.2,0,8.1
120,white,5.9,0.36,0.04,5.7,0.046,21.0,87.0,0.9934,3.22,0.51,10.2,0,6.300000000000001
121,white,7.8,0.24,0.32,12.2,0.054000000000000006,42.0,138.0,0.9984,3.01,0.54,8.8,0,8.36
122,white,7.4,0.16,0.31,6.85,0.059000000000000004,31.0,131.0,0.9952,3.29,0.34,9.7,0,7.87
123,white,6.9,0.19,0.28,5.0,0.057999999999999996,14.0,146.0,0.9952,3.29,0.36,9.1,0,7.370000000000001
124,white,6.4,0.13,0.47,1.6,0.092,40.0,158.0,0.9928,3.21,0.36,9.8,0,7.0
125,white,6.7,0.19,0.36,1.1,0.026000000000000002,63.0,143.0,0.9912,3.27,0.48,11.0,0,7.250000000000001
126,white,7.4,0.39,0.23,7.0,0.033,29.0,126.0,0.9940000000000001,3.14,0.42,10.5,0,8.02
127,white,6.5,0.24,0.32,7.6,0.038,48.0,203.0,0.9958,3.45,0.54,9.7,1,7.0600000000000005
128,white,6.1,0.3,0.56,2.8,0.044000000000000004,47.0,179.0,0.9924,3.3,0.57,10.9,1,6.959999999999999
129,white,6.1,0.3,0.56,2.7,0.046,46.0,184.0,0.9924,3.31,0.57,10.9,0,6.959999999999999
130,white,5.7,0.26,0.25,10.4,0.02,7.0,57.0,0.9940000000000001,3.39,0.37,10.6,0,6.21
131,white,6.5,0.24,0.32,7.6,0.038,48.0,203.0,0.9958,3.45,0.54,9.7,1,7.0600000000000005
132,white,6.5,0.425,0.4,13.1,0.038,59.0,241.0,0.9979,3.23,0.57,9.0,0,7.325
133,white,6.6,0.24,0.27,15.8,0.035,46.0,188.0,0.9982,3.24,0.51,9.2,0,7.109999999999999
134,white,6.8,0.27,0.22,8.1,0.034,55.0,203.0,0.9961,3.19,0.52,8.9,0,7.29
135,white,6.7,0.27,0.31,15.7,0.036000000000000004,44.0,179.0,0.9979,3.26,0.56,9.6,0,7.28
136,white,8.2,0.23,0.4,1.2,0.027000000000000003,36.0,121.0,0.992,3.12,0.38,10.7,0,8.83
137,white,7.1,0.37,0.67,10.5,0.045,49.0,155.0,0.9975,3.16,0.44,8.7,0,8.14
138,white,6.8,0.19,0.36,1.9,0.035,30.0,96.0,0.9917,3.15,0.54,10.8,1,7.3500000000000005
139,white,8.1,0.28,0.39,1.9,0.028999999999999998,18.0,79.0,0.9923,3.218395499383475,0.52,11.8,0,8.77
140,white,6.3,0.31,0.34,2.2,0.045,20.0,77.0,0.9927,3.3,0.43,10.2,0,6.949999999999999
141,white,7.1,0.37,0.67,10.5,0.045,49.0,155.0,0.9975,3.16,0.44,8.7,0,8.14
142,white,7.9,0.21,0.4,1.2,0.039,38.0,107.0,0.992,3.21,0.54,10.8,0,8.510000000000002
143,white,8.5,0.21,0.41,4.3,0.036000000000000004,24.0,99.0,0.9947,3.18,0.53,9.7,0,9.120000000000001
144,white,8.1,0.2,0.4,2.0,0.037000000000000005,19.0,87.0,0.9921,3.12,0.54,11.2,0,8.7
145,white,6.3,0.255,0.37,1.1,0.04,37.0,114.0,0.9905,3.0,0.39,10.9,0,6.925
146,white,5.6,0.16,0.27,1.4,0.044000000000000004,53.0,168.0,0.9918,3.28,0.37,10.1,0,6.029999999999999
147,white,6.4,0.595,0.14,5.2,0.057999999999999996,15.0,97.0,0.9951,3.38,0.36,9.0,0,7.135
148,white,6.3,0.34,0.33,4.6,0.034,19.0,80.0,0.9917,3.38,0.58,12.0,1,6.97
149,white,6.9,0.25,0.3,4.1,0.054000000000000006,23.0,116.0,0.9940000000000001,2.99,0.38,9.4,0,7.45
150,white,7.9,0.22,0.38,8.0,0.043,46.0,152.0,0.9934,3.12,0.32,11.5,1,8.500000000000002
151,white,7.6,0.18,0.46,10.2,0.055,58.0,135.0,0.9968,3.14,0.43,9.9,0,8.24
152,white,6.9,0.25,0.3,4.1,0.054000000000000006,23.0,116.0,0.9940000000000001,2.99,0.38,9.4,0,7.45
153,white,7.2,0.18,0.41,1.2,0.048,41.0,97.0,0.9919,3.14,0.45,10.4,0,7.79
154,white,8.2,0.23,0.4,7.5,0.049,12.0,76.0,0.9966,3.06,0.84,9.7,0,8.83
155,white,7.4,0.24,0.42,14.0,0.066,48.0,198.0,0.9979,2.89,0.42,8.9,0,8.06
156,white,7.4,0.24,0.42,14.0,0.066,48.0,198.0,0.9979,2.89,0.42,8.9,0,8.06
157,white,6.1,0.32,0.24,1.5,0.036000000000000004,38.0,124.0,0.9898,3.29,0.42,12.4,1,6.66
158,white,5.2,0.44,0.04,1.4,0.036000000000000004,43.0,119.0,0.9894,3.36,0.33,12.1,1,5.680000000000001
159,white,5.2,0.44,0.04,1.4,0.036000000000000004,43.0,119.0,0.9894,3.36,0.33,12.1,1,5.680000000000001
160,white,6.1,0.32,0.24,1.5,0.036000000000000004,38.0,124.0,0.9898,3.29,0.42,12.4,1,6.66
161,white,6.4,0.22,0.56,14.5,0.055,27.0,159.0,0.998,2.98,0.4,9.1,0,7.18
162,white,6.3,0.36,0.3,4.8,0.049,14.0,85.0,0.9932,3.28,0.39,10.6,0,6.96
163,white,7.4,0.24,0.42,14.0,0.066,48.0,198.0,0.9979,2.89,0.42,8.9,0,8.06
164,white,6.7,0.24,0.35,13.1,0.05,64.0,205.0,0.997,3.15,0.5,9.5,0,7.29
165,white,7.0,0.23,0.36,13.0,0.051,72.0,177.0,0.9972,3.16,0.49,9.8,0,7.590000000000001
166,white,8.4,0.27,0.46,8.7,0.048,39.0,197.0,0.9974,3.14,0.59,9.6,0,9.13
167,white,6.7,0.46,0.18,2.4,0.034,25.0,98.0,0.9896,3.08,0.44,12.6,1,7.34
168,white,7.5,0.29,0.31,8.95,0.055,20.0,151.0,0.9968,3.08,0.54,9.3,0,8.1
169,white,9.8,0.42,0.48,9.85,0.034,5.0,110.0,0.9958,2.87,0.29,10.0,0,10.700000000000001
170,white,7.1,0.3,0.46,1.5,0.066,29.0,133.0,0.9906,3.12,0.54,12.7,0,7.859999999999999
171,white,7.9,0.19,0.45,1.5,0.045,17.0,96.0,0.9917,3.13,0.39,11.0,0,8.54
172,white,7.6,0.48,0.37,0.8,0.037000000000000005,4.0,100.0,0.9902,3.03,0.39,11.4,0,8.45
173,white,6.3,0.22,0.43,4.55,0.038,31.0,130.0,0.9918,3.35,0.33,11.5,1,6.949999999999999
174,white,7.2165793124710795,0.27,0.31,17.7,0.051,33.0,173.0,0.9990000000000001,3.09,0.64,10.2,0,7.796579312471079
175,white,6.9,0.23,0.4,7.5,0.04,50.0,151.0,0.9927,3.11,0.27,11.4,0,7.530000000000001
176,white,7.2,0.32,0.47,5.1,0.044000000000000004,19.0,65.0,0.991,3.03,0.41,12.6,0,7.99
177,white,5.9,0.23,0.3,12.9,0.054000000000000006,57.0,170.0,0.9972,3.28,0.39,9.4,0,6.430000000000001
178,white,6.0,0.67,0.07,1.2,0.06,9.0,108.0,0.9931,3.11,0.35,8.7,0,6.74
179,white,6.4,0.25,0.32,5.5,0.049,41.0,176.0,0.995,3.19,0.68,9.2,0,6.970000000000001
180,white,6.4,0.33,0.31,5.5,0.048,42.0,173.0,0.9951,3.19,0.66,9.3,0,7.04
181,white,7.1,0.34,0.15,1.2,0.053,61.0,183.0,0.9936,3.09,0.43,9.2,0,7.59
183,white,6.9,0.27,0.4,14.0,0.05,64.0,227.0,0.9979,3.18,0.58,9.6,0,7.57
184,white,6.8,0.26,0.56,11.9,0.043,64.0,226.0,0.997,3.02,0.63,9.3,0,7.619999999999999
185,white,6.8,0.29,0.56,11.9,0.043,66.0,230.0,0.9972,3.02,0.63,9.3,0,7.65
186,white,6.7,0.24,0.41,9.4,0.04,49.0,166.0,0.9954,3.12,0.61,9.9,0,7.3500000000000005
187,white,5.9,0.3,0.23,4.2,0.038,42.0,119.0,0.9924,3.15,0.5,11.0,0,6.430000000000001
188,white,6.8,0.53,0.35,3.8,0.034,26.0,109.0,0.9906,3.26,0.57,12.7,1,7.68
189,white,6.5,0.28,0.28,8.5,0.047,54.0,210.0,0.9962,3.09,0.54,8.9,0,7.0600000000000005
190,white,6.6,0.28,0.28,8.5,0.052000000000000005,55.0,211.0,0.9962,3.09,0.55,8.9,0,7.16
192,white,6.8,0.28,0.36,8.0,0.045,28.0,123.0,0.9928,3.02,0.37,11.4,0,7.44
193,white,6.6,0.15,0.34,5.1,0.055,34.0,125.0,0.9942,3.36,0.42,9.6,0,7.09
194,white,6.4,0.29,0.44,3.6,0.2,75.0,181.0,0.9942,3.02,0.41,9.1,0,7.130000000000001
195,white,6.4,0.3,0.45,3.5,0.19699999999999998,76.0,180.0,0.9942,3.02,0.39,9.1,0,7.15
196,white,6.4,0.29,0.44,3.6,0.19699999999999998,75.0,183.0,0.9942,3.01,0.38,9.1,0,7.130000000000001
197,white,6.8,0.26,0.24,7.8,0.052000000000000005,54.0,214.0,0.9961,3.13,0.47,8.9,0,7.3
198,white,7.1,0.32,0.24,13.1,0.05,52.0,204.0,0.998,3.1,0.49,8.8,0,7.66
199,white,6.8,0.26,0.24,7.8,0.052000000000000005,54.0,214.0,0.9961,3.13,0.47,8.9,0,7.3
200,white,6.8,0.27,0.26,16.1,0.049,55.0,196.0,0.9984,3.15,0.5,9.3,0,7.33
201,white,7.1,0.32,0.24,13.1,0.05,52.0,204.0,0.998,3.1,0.49,8.8,0,7.66
202,white,6.9,0.54,0.32,13.2,0.05,53.0,236.0,0.9973,3.2,0.5,9.6,0,7.760000000000001
203,white,6.8,0.26,0.34,13.9,0.034,39.0,134.0,0.9949,3.33,0.53,12.0,0,7.3999999999999995
204,white,5.8,0.28,0.35,2.3,0.053,36.0,114.0,0.9924,3.28,0.5,10.2,0,6.43
205,white,6.4,0.21,0.5,11.6,0.042,45.0,153.0,0.9972,3.15,0.43,8.8,0,7.11
206,white,7.0,0.16,0.32,8.3,0.045,38.0,126.0,0.9958,3.21,0.34,9.2,0,7.48
207,white,10.2,0.44,0.88,6.2,0.049,20.0,124.0,0.9968,2.99,0.51,9.9,0,11.52
208,white,6.8,0.57,0.29,2.2,0.04,15.0,77.0,0.9938,3.32,0.74,10.2,0,7.66
209,white,6.1,0.4,0.31,0.9,0.048,23.0,170.0,0.993,3.22,0.77,9.5,0,6.81
210,white,5.6,0.245,0.25,9.7,0.032,12.0,68.0,0.9940000000000001,3.31,0.34,10.5,0,6.095
211,white,6.8,0.18,0.38,1.4,0.038,35.0,111.0,0.9918,3.32,0.59,11.2,1,7.359999999999999
212,white,7.0,0.16,0.32,8.3,0.045,38.0,126.0,0.9958,3.21,0.34,9.2,0,7.48
213,white,6.7,0.13,0.29,5.3,0.051,31.0,122.0,0.9944,3.44,0.37,9.7,0,7.12
214,white,6.2,0.25,0.25,1.4,0.03,35.0,105.0,0.9912,3.3,0.44,11.1,1,6.7
215,white,5.8,0.26,0.24,9.2,0.044000000000000004,55.0,152.0,0.9961,3.31,0.38,9.4,0,6.3
216,white,7.5,0.27,0.36,7.0,0.036000000000000004,45.0,164.0,0.9939,3.03,0.33,11.0,0,8.129999999999999
217,white,5.8,0.26,0.24,9.2,0.044000000000000004,55.0,152.0,0.9961,3.31,0.38,9.4,0,6.3
218,white,5.7,0.28,0.24,17.5,0.044000000000000004,60.0,167.0,0.9989,3.31,0.44,9.4,0,6.220000000000001
219,white,7.5,0.23,0.36,7.0,0.036000000000000004,43.0,161.0,0.9938,3.04,0.32,11.0,0,8.09
220,white,7.5,0.27,0.36,7.0,0.036000000000000004,45.0,164.0,0.9939,3.03,0.33,11.0,0,8.129999999999999
221,white,7.2,0.685,0.21,9.5,0.07,33.0,172.0,0.9971,3.0,0.55,9.1,0,8.095
222,white,6.2,0.25,0.25,1.4,0.03,35.0,105.0,0.9912,3.3,0.44,11.1,1,6.7
223,white,6.5,0.19,0.3,0.8,0.043,33.0,144.0,0.9936,3.42,0.39,9.1,0,6.99
224,white,6.3,0.495,0.22,1.8,0.046,31.0,140.0,0.9929,3.39,0.5312151547820745,10.4,0,7.015
225,white,7.1,0.24,0.41,17.8,0.046,39.0,145.0,0.9998,3.32,0.39,8.7,0,7.75
226,white,6.4,0.17,0.32,2.4,0.048,41.0,200.0,0.9938,3.5,0.5,9.7,0,6.890000000000001
227,white,7.1,0.25,0.32,10.3,0.040999999999999995,66.0,272.0,0.9969,3.17,0.52,9.1,0,7.67
228,white,6.4,0.17,0.32,2.4,0.048,41.0,200.0,0.9938,3.5,0.5,9.7,0,6.890000000000001
229,white,7.1,0.24,0.41,17.8,0.046,39.0,145.0,0.9998,3.32,0.39,8.7,0,7.75
230,white,6.8,0.64,0.08,9.7,0.062,26.0,142.0,0.9972,3.37,0.46,8.9,0,7.52
231,white,8.3,0.28,0.4,7.8,0.040999999999999995,38.0,194.0,0.9976,3.34,0.51,9.6,0,8.98
232,white,8.2,0.27,0.39,7.8,0.039,49.0,208.0,0.9976,3.31,0.51,9.5,0,8.86
233,white,7.2,0.23,0.38,14.3,0.057999999999999996,55.0,194.0,0.9979,3.09,0.44,9.0,0,7.8100000000000005
234,white,7.2,0.23,0.38,14.3,0.057999999999999996,55.0,194.0,0.9979,3.09,0.44,9.0,0,7.8100000000000005
235,white,7.2,0.23,0.38,14.3,0.057999999999999996,55.0,194.0,0.9979,3.09,0.44,9.0,0,7.8100000000000005
236,white,7.2,0.23,0.38,14.3,0.057999999999999996,55.0,194.0,0.9979,3.09,0.44,9.0,0,7.8100000000000005
237,white,6.8,0.52,0.32,13.2,0.044000000000000004,54.0,221.0,0.9972,3.27,0.5,9.6,0,7.640000000000001
238,white,7.0,0.26,0.59,1.4,0.037000000000000005,40.0,120.0,0.9918,3.34,0.41,11.1,1,7.85
239,white,6.2,0.25,0.21,15.55,0.039,28.0,159.0,0.9982,3.48,0.64,9.6,0,6.66
240,white,7.3,0.32,0.23,13.7,0.05,49.0,197.0,0.9985,3.2,0.46,8.7,0,7.8500000000000005
241,white,7.7,0.31,0.26,7.8,0.031,23.0,90.0,0.9944,3.13,0.5,10.4,0,8.27
