,total_acidity,chlorides,pH,sulphates,alcohol,quality
74,7.24,0.046,3.33,0.64,10.7,1
75,7.930000000000001,0.05,3.13,0.35,9.5,0
76,7.64,0.043,3.26,0.37,12.7,1
77,7.66,0.042,3.31,0.65,12.0,1
78,7.88,0.064,2.94,0.56,9.3,0
79,7.5200000000000005,0.06,3.27,0.37,9.0,0
80,7.329999999999999,0.053,3.39,0.77,10.6,1
81,7.64,0.05,3.21,0.6,9.2,1
82,7.64,0.063,3.17,0.42,10.0,0
83,7.819999999999999,0.047,3.33,0.46,9.5,1
84,8.139999999999999,0.045,3.11,0.45,8.7,0
85,8.16,0.044,3.12,0.46,8.7,1
86,8.169183201695242,0.044,3.09,0.44,8.7,1
87,7.359999999999999,0.05,3.22,0.48,9.7,1
88,8.139999999999999,0.045,3.11,0.45,8.7,0
89,8.16,0.044,3.12,0.46,8.7,1
90,8.22,0.044,3.09,0.44,8.7,1
91,6.799999999999999,0.049,3.12,0.47,9.0,0
92,7.470000000000001,0.035,3.26,0.4,12.6,1
93,7.44,0.034,3.25,0.41,12.6,1
94,7.99,0.04,3.21,0.44,11.5,1
95,7.6499999999999995,0.044,3.04,0.42,9.2,1
96,7.0,0.046,3.14,0.5,8.8,1
97,9.225,0.034,2.95,0.36,11.4,1
98,10.620000000000001,0.056167404271695205,2.89,0.3,10.1,0
99,7.0,0.046,3.14,0.5,8.8,1
100,8.02,0.06,3.0,0.44,9.1,0
101,7.54,0.054,3.4,0.41,9.4,0
102,6.45,0.05,3.34,0.39,9.4,0
103,8.205,0.059,2.99,0.46,9.0,0
104,8.02,0.06,3.0,0.44,9.1,0
105,7.75,0.051,3.2,0.35,9.2,1
106,7.54,0.054,3.4,0.41,9.4,0
107,7.68,0.04,3.16,0.59,9.1,1
108,7.68,0.04,3.16,0.59,9.1,1
109,7.510000000000001,0.051,3.27,0.6,10.3,0
110,7.21,0.082,2.89,0.39,8.8,1
111,7.930000000000001,0.052,3.04,0.52,8.9,0
112,8.01,0.056,3.01,0.47,9.2,0
113,7.45,0.049,3.22,0.51,9.1,0
114,7.45,0.049,3.22,0.51,9.1,0
115,5.985,0.065,3.63,0.4,9.7,0
116,6.55,0.041,3.31,0.44,11.3,1
117,7.54,0.035,3.19,0.42,11.8,1
118,8.01,0.056,3.01,0.47,9.2,0
119,8.1,0.06,3.04,0.5,9.2,0
120,6.300000000000001,0.046,3.22,0.51,10.2,0
121,8.36,0.054,3.01,0.54,8.8,0
122,7.87,0.059,3.29,0.34,9.7,0
123,7.370000000000001,0.058,3.29,0.36,9.1,1
124,7.0,0.092,3.21,0.36,9.8,1
125,7.250000000000001,0.026,3.27,0.48,11.0,1
126,8.02,0.033,3.14,0.42,10.5,0
127,7.0600000000000005,0.038,3.45,0.54,9.7,1
128,6.959999999999999,0.044,3.3,0.57,10.9,1
129,6.959999999999999,0.046,3.31,0.57,10.9,1
130,6.21,0.02,3.39,0.37,10.6,0
131,7.0600000000000005,0.038,3.45,0.54,9.7,1
132,7.325,0.038,3.23,0.57,9.0,0
133,7.109999999999999,0.035,3.24,0.51,9.2,0
134,7.29,0.034,3.19,0.52,8.9,0
135,7.28,0.036,3.26,0.56,9.6,0
136,8.83,0.027,3.12,0.38,10.7,1
137,8.14,0.045,3.16,0.44,8.7,0
138,7.3500000000000005,0.035,3.15,0.54,10.8,1
139,8.77,0.029,3.217616021567495,0.52,11.8,1
140,6.949999999999999,0.045,3.3,0.43,10.2,0
141,8.14,0.045,3.16,0.44,8.7,0
142,8.510000000000002,0.039,3.21,0.54,10.8,1
143,9.120000000000001,0.036,3.18,0.53,9.7,1
144,8.7,0.037,3.12,0.54,11.2,1
145,6.925,0.04,3.0,0.39,10.9,1
146,6.029999999999999,0.044,3.28,0.37,10.1,1
147,7.135,0.058,3.38,0.36,9.0,0
148,6.97,0.034,3.38,0.58,12.0,1
149,7.45,0.054,2.99,0.38,9.4,1
150,8.500000000000002,0.043,3.12,0.32,11.5,1
151,8.24,0.055,3.14,0.43,9.9,1
152,7.45,0.054,2.99,0.38,9.4,1
153,7.79,0.048,3.14,0.45,10.4,0
154,8.83,0.049,3.06,0.84,9.7,1
155,8.06,0.066,2.89,0.42,8.9,1
156,8.06,0.066,2.89,0.42,8.9,1
157,6.66,0.036,3.29,0.42,12.4,1
158,5.680000000000001,0.036,3.36,0.33,12.1,1
159,5.680000000000001,0.036,3.36,0.33,12.1,1
160,6.66,0.036,3.29,0.42,12.4,1
161,7.18,0.055,2.98,0.4,9.1,0
162,6.96,0.049,3.28,0.39,10.6,0
163,8.06,0.066,2.89,0.42,8.9,1
164,7.29,0.05,3.15,0.5,9.5,0
165,7.590000000000001,0.051,3.16,0.49,9.8,0
166,9.13,0.048,3.14,0.59,9.6,1
167,7.34,0.034,3.08,0.44,12.6,1
168,8.1,0.055,3.08,0.54,9.3,0
169,10.700000000000001,0.034,2.87,0.29,10.0,0
170,7.859999999999999,0.066,3.12,0.54,12.7,1
171,8.54,0.045,3.13,0.39,11.0,1
172,8.45,0.037,3.03,0.39,11.4,0
173,6.949999999999999,0.038,3.35,0.33,11.5,1
174,7.788813330764785,0.051,3.09,0.64,10.2,0
175,7.530000000000001,0.04,3.11,0.27,11.4,1
176,7.99,0.044,3.03,0.41,12.6,0
177,6.430000000000001,0.054,3.28,0.39,9.4,0
178,6.74,0.06,3.11,0.35,8.7,0
179,6.970000000000001,0.049,3.19,0.68,9.2,1
180,7.04,0.048,3.19,0.66,9.3,1
181,7.59,0.053,3.09,0.43,9.2,0
182,7.48,0.048,2.93,0.5,8.7,0
183,7.57,0.05,3.18,0.58,9.6,1
184,7.619999999999999,0.043,3.02,0.63,9.3,0
185,7.65,0.043,3.02,0.63,9.3,0
186,7.3500000000000005,0.04,3.12,0.61,9.9,1
187,6.430000000000001,0.038,3.15,0.5,11.0,0
188,7.68,0.034,3.26,0.57,12.7,1
189,7.0600000000000005,0.047,3.09,0.54,8.9,0
190,7.16,0.052,3.09,0.55,8.9,1
191,7.48,0.048,2.93,0.5,8.7,0
192,7.44,0.045,3.02,0.37,11.4,1
193,7.09,0.055,3.36,0.42,9.6,0
194,7.130000000000001,0.2,3.02,0.41,9.1,0
195,7.15,0.197,3.02,0.39,9.1,1
196,7.130000000000001,0.197,3.01,0.38,9.1,0
197,7.3,0.052,3.13,0.47,8.9,0
198,7.66,0.05,3.1,0.49,8.8,0
199,7.3,0.052,3.13,0.47,8.9,0
200,7.33,0.049,3.15,0.5,9.3,0
201,7.66,0.05,3.1,0.49,8.8,0
202,7.760000000000001,0.05,3.2,0.5,9.6,0
203,7.3999999999999995,0.034,3.33,0.53,12.0,1
204,6.43,0.053,3.28,0.5,10.2,0
205,7.11,0.042,3.15,0.43,8.8,0
206,7.48,0.045,3.21,0.34,9.2,0
207,11.52,0.049,2.99,0.51,9.9,0
208,7.66,0.04,3.32,0.74,10.2,0
209,6.81,0.048,3.22,0.77,9.5,1
210,6.095,0.032,3.31,0.34,10.5,0
211,7.359999999999999,0.038,3.32,0.59,11.2,1
212,7.48,0.045,3.21,0.34,9.2,0
213,7.12,0.051,3.44,0.37,9.7,1
214,6.7,0.03,3.3,0.44,11.1,1
215,6.3,0.044,3.31,0.38,9.4,0
216,8.129999999999999,0.036,3.03,0.33,11.0,0
217,6.3,0.044,3.31,0.38,9.4,0
218,6.220000000000001,0.044,3.31,0.44,9.4,0
219,8.09,0.036,3.04,0.32,11.0,0
220,8.129999999999999,0.036,3.03,0.33,11.0,0
221,8.095,0.07,3.0,0.55,9.1,1
222,6.7,0.03,3.3,0.44,11.1,1
223,6.99,0.043,3.42,0.39,9.1,1
224,7.015,0.046,3.39,0.5309586140519731,10.4,1
225,7.75,0.046,3.32,0.39,8.7,0
226,6.890000000000001,0.048,3.5,0.5,9.7,1
227,7.67,0.041,3.17,0.52,9.1,1
228,6.890000000000001,0.048,3.5,0.5,9.7,1
229,7.75,0.046,3.32,0.39,8.7,0
230,7.52,0.062,3.37,0.46,8.9,0
231,8.98,0.041,3.34,0.51,9.6,1
232,8.86,0.039,3.31,0.51,9.5,1
233,7.8100000000000005,0.058,3.09,0.44,9.0,1
234,7.8100000000000005,0.058,3.09,0.44,9.0,1
235,7.8100000000000005,0.058,3.09,0.44,9.0,1
236,7.8100000000000005,0.058,3.09,0.44,9.0,1
237,7.640000000000001,0.044,3.27,0.5,9.6,1
238,7.85,0.037,3.34,0.41,11.1,1
239,6.66,0.039,3.48,0.64,9.6,1
240,7.8500000000000005,0.05,3.2,0.46,8.7,0
241,8.27,0.031,3.13,0.5,10.4,0
242,7.68,0.026,3.15,0.38,11.4,1
243,7.38,0.047,3.3,0.58,9.7,1
244,7.860000000000001,0.043,3.14,0.46,8.7,0
245,6.64,0.038,3.37,0.79,11.3,1
246,7.279999999999999,0.03,3.16,0.61,12.6,1
247,6.27,0.031,3.25,0.36,10.9,1
248,6.05,0.03,3.25,0.37,10.9,1
249,7.758813330764784,0.037,3.38,0.45,10.0,0
250,6.390000000000001,0.053,3.72,0.7,10.0,0
251,8.97,0.074,3.02,0.5,9.8,0
252,7.860000000000001,0.043,3.14,0.46,8.7,0
253,6.48,0.029,3.53,0.43,11.7,0
254,6.43,0.054,3.21,0.52,9.3,1
255,7.35,0.04,3.32,0.58,9.6,1
256,6.949999999999999,0.035,3.27,0.41,11.0,1
257,6.949999999999999,0.035,3.27,0.41,11.0,1
258,7.0200000000000005,0.032,3.32,0.5,11.8,1
259,6.54,0.037,3.28,0.34,11.4,0
260,7.365,0.048,3.32,0.42,10.2,1
261,7.590000000000001,0.043,2.93,0.47,8.9,0
262,7.580000000000001,0.036,3.17,0.33,10.2,0
263,7.890000000000001,0.045,3.08,0.59,9.6,1
264,6.79,0.038,3.1,0.48,10.6,1
265,7.590000000000001,0.043,2.93,0.47,8.9,0
266,7.48,0.053,3.25,0.51,9.2,1
267,7.858813330764785,0.043,3.34,0.57,9.7,0
268,6.204176130895092,0.044,3.34,0.57,9.7,1
269,6.0600000000000005,0.045,3.34,0.57,9.7,1
270,7.48,0.053,3.25,0.51,9.2,1
271,5.87,0.044,3.33,0.58,9.7,0
272,6.31,0.051,3.29,0.38,9.3,0
273,7.4799999999999995,0.057,3.24,0.38,9.0,0
274,7.83,0.046,3.05,0.61,9.5,0
275,7.2,0.046,3.14,0.57,9.8,1
276,7.3100000000000005,0.044,3.14,0.58,9.8,1
277,8.36,0.042,2.89,0.5,10.6,0
278,7.46,0.044,3.05,0.47,10.6,0
279,7.79,0.036,3.26,0.68,12.4,1
280,7.6000000000000005,0.034,3.19,0.38,12.6,1
281,6.989999999999999,0.039,3.3,0.6,12.3,1
282,7.61,0.047,3.08,0.65,10.5,0
283,7.34,0.054,3.19,0.49,9.3,0
284,7.6899999999999995,0.055,3.12,0.49,8.8,0
285,7.87,0.056,3.08,0.47,8.8,0
286,7.11,0.053,3.22,0.51,9.7,1
287,7.82,0.058,2.98,0.48,9.0,1
288,7.82,0.058,2.98,0.48,9.0,1
289,7.82,0.058,2.98,0.48,9.0,1
290,7.82,0.058,2.98,0.48,9.0,1
291,6.36,0.041,3.52,0.46,10.5,1
292,8.100000000000001,0.066,2.96,0.44,9.1,0
293,6.7,0.041,3.44,0.64,9.8,1
294,10.07,0.066,3.23,0.38,8.5,0
295,6.9,0.046,3.37,0.54,9.4,1
296,9.39,0.045,3.09,0.57,9.4,0
297,7.8500000000000005,0.041,3.19,0.6,11.2,1
298,8.11,0.046,3.17,0.45,10.0,1
299,7.37,0.043,3.15,0.45,10.3,1
300,6.51,0.063,3.27,0.67,10.8,1
301,8.85,0.05,3.13,0.38,10.5,1
302,6.51,0.063,3.27,0.67,10.8,1
303,6.5,0.055,3.32,0.43,11.1,1
304,7.95,0.057,3.2,0.41,9.9,1
305,7.95,0.057,3.2,0.41,9.9,1
306,7.87,0.058,3.2,0.41,9.9,0
307,7.94,0.058,3.2,0.41,9.9,1
308,6.800000000000001,0.036,3.2,0.42,10.4,1
309,6.77,0.037,3.21,0.41,10.4,1
310,6.73,0.035,3.4,0.71,11.5,1
311,5.6899999999999995,0.032,3.53,0.51,12.5,1
312,8.46,0.042,3.36,0.45,10.0,1
313,6.2700000000000005,0.038,3.29,0.63,10.0,1
314,6.35,0.04,3.29,0.62,10.0,0
315,7.68,0.132,3.09,0.44,9.1,1
316,7.39,0.031,3.21,0.38,10.6,1
317,7.1899999999999995,0.031,3.19,0.37,10.5,0
318,6.67,0.03,3.52,0.43,11.5,1
319,6.475,0.04,3.54,0.59,10.1,1
320,6.34,0.041,3.61,0.61,10.3,1
321,7.1899999999999995,0.031,3.19,0.37,10.5,0
322,7.39,0.031,3.21,0.38,10.6,1
323,7.5200000000000005,0.031,3.16,0.36,10.4,1
324,9.22,0.046,3.02,0.55,11.4,0
325,8.08,0.057,3.18,0.59,10.5,0
326,8.57,0.04,2.96,0.6,10.0,1
327,6.970000000000001,0.039,3.19,0.65,10.0,1
328,7.13,0.042,3.23,0.5,9.6,1
329,7.82,0.036,3.17,0.51,10.4,0
330,7.07,0.03,3.36,0.6,12.5,1
331,7.38,0.032,3.2,0.39,10.6,0
332,6.83,0.033,3.28,0.4,11.8,1
333,7.12,0.038,3.11,0.44,9.8,0
334,6.119999999999999,0.031,3.25,0.38,10.8,0
335,6.83,0.033,3.28,0.4,11.8,1
336,6.86,0.036,3.32,0.42,11.2,1
337,6.34,0.045,3.28,0.42,9.3,1
338,6.5600000000000005,0.047,3.45,0.53,10.4,0
339,7.129999999999999,0.049,3.43,0.85,10.2,1
340,8.030000000000001,0.045,3.19,0.55,9.0,1
341,8.6,0.047,3.2,0.54,10.0,1
342,7.08,0.044,3.18,0.47,9.1,1
343,6.18,0.053,3.29,0.76,10.0,0
344,6.16,0.052,3.29,0.75,10.0,1
345,7.574999999999999,0.05,3.28,0.4,9.6,1
346,6.039999999999999,0.031,3.36,0.51,11.2,1
347,7.300000000000001,0.056,3.2,0.44,8.8,1
348,8.44,0.052,3.15,0.5,10.0,1
349,8.219999999999999,0.054,3.15,0.47,10.0,0
350,6.78,0.044,3.27,0.74,11.4,1
351,8.03,0.038,3.03,0.3,11.9,1
352,6.135,0.071,3.14,0.51,9.6,1
353,8.03,0.038,3.03,0.3,11.9,1
354,6.62,0.047,3.25,0.57,9.6,1
355,7.89,0.063,2.89,0.38,9.0,1
356,7.89,0.063,2.89,0.38,9.0,1
357,6.79,0.05,3.15,0.78,9.5,1
358,10.59,0.05,3.0,0.42,10.4,1
359,7.48,0.04,3.2,0.59,10.6,1
360,6.960000000000001,0.047,3.28,0.5,10.2,1
361,7.6049999999999995,0.055,3.15,0.43,8.9,0
362,7.25,0.05,3.4,0.39,9.7,1
363,7.89,0.063,2.89,0.38,9.0,1
364,7.36,0.037,3.49,0.42,11.4,1
365,6.58,0.028,3.4,0.71,12.3,1
366,6.449999999999999,0.089,3.49,0.62,10.8,1
367,7.44,0.053,3.12,0.45,9.4,1
368,7.978813330764785,0.049,3.17,0.64,10.6,1
369,7.839999999999999,0.044,3.17,0.29,11.6,0
370,7.44,0.053,3.12,0.45,9.4,1
371,8.47,0.049,3.17,0.64,10.6,1
372,7.695,0.048,3.34,0.56,10.0,0
373,7.74,0.048,3.1,0.51,9.2,1
374,5.6499999999999995,0.027,3.51,0.38,12.5,1
375,5.6499999999999995,0.027,3.51,0.38,12.5,1
376,6.99,0.037,3.32,0.51,10.4,1
377,7.94,0.045,3.15,0.46,10.0,1
378,6.5200000000000005,0.049,3.22,0.64,10.0,1
379,6.99,0.037,3.32,0.51,10.4,1
380,7.94,0.045,3.15,0.46,10.0,1
381,7.74,0.046,3.1,0.52,9.0,1
382,8.129999999999999,0.051,3.12,0.53,9.2,1
383,7.74,0.048,3.1,0.51,9.2,1
384,6.75,0.027,3.38,0.39,11.3,1
385,5.6499999999999995,0.027,3.51,0.38,12.5,1
386,5.73,0.026,3.48,0.39,10.8,1
387,7.039999999999999,0.04,3.12,0.66,10.1,0
388,7.23,0.047,3.39,0.46,9.7,1
389,7.68,0.032,3.18,0.61,9.3,1
390,7.68,0.032,3.18,0.61,9.3,1
391,7.180000000000001,0.031,3.1,0.46,10.6,0
392,6.8,0.031,3.36,0.47,10.2,1
393,7.97,0.021,3.08,0.56,12.2,1
394,7.68,0.044,3.19,0.44,8.8,0
395,7.19,0.04,3.18,0.41,10.0,0
396,8.899999999999999,0.031,3.09,0.39,11.4,0
397,6.9,0.037,3.46,0.5,11.4,1
398,6.43,0.048,3.35,0.44,9.4,0
399,7.010000000000001,0.032,3.3,0.41,11.7,1
400,6.9,0.037,3.46,0.5,11.4,1
401,7.68,0.044,3.19,0.44,8.8,0
402,6.52,0.069,3.23,0.52,9.2,0
403,7.679999999999999,0.046,3.07,0.56,8.7,0
404,7.329999999999999,0.035,3.24,0.66,12.6,1
405,7.19,0.04,3.18,0.41,10.0,0
406,6.42,0.031,3.39,0.39,12.8,1
407,7.630000000000001,0.049,3.17,0.51,9.4,0
408,6.829999999999999,0.044,3.26,0.53,10.3,1
409,8.899999999999999,0.031,3.09,0.39,11.4,0
410,7.84,0.038,2.97,0.47,9.0,1
411,7.94,0.04,3.3,0.79,9.6,1
412,7.78,0.036,3.16,0.5,10.5,0
413,7.78,0.036,3.16,0.5,10.5,0
414,7.84,0.038,2.97,0.47,9.0,1
415,7.94,0.04,3.3,0.79,9.6,1
416,7.880000000000001,0.041,3.19,0.33,9.8,1
417,7.279999999999999,0.047,3.1,0.47,9.0,0
418,7.880000000000001,0.041,3.19,0.33,9.8,1
419,7.99,0.05,3.31,0.56,10.5,1
420,7.529999999999999,0.03,3.16,0.37,12.7,1
421,7.49,0.045,3.25,0.54,10.4,1
422,7.49,0.045,3.25,0.54,10.4,1
423,7.49,0.045,3.25,0.54,10.4,1
424,7.510000000000001,0.047,3.34,0.52,10.5,1
425,7.49,0.045,3.25,0.54,10.4,1
426,7.49,0.045,3.25,0.54,10.4,1
427,7.59,0.053,3.09,0.45,9.4,0
428,8.28,0.051,3.06,0.46,9.1,0
429,7.879999999999999,0.056,3.1,0.49,9.3,0
430,7.59,0.053,3.09,0.45,9.4,0
431,6.84,0.048,3.21,0.38,9.8,0
432,7.8950000000000005,0.045,3.18,0.61,9.9,1
433,7.84,0.108,3.07,0.57,9.2,0
434,7.590000000000001,0.028,3.35,0.47,12.1,1
435,7.470000000000001,0.027,3.38,0.49,12.2,1
436,6.7,0.042,3.27,0.6,9.8,0
437,7.08,0.035,3.35,0.64,12.4,1
438,7.8950000000000005,0.045,3.18,0.61,9.9,1
439,6.59,0.06,3.26,0.54,9.2,0
440,7.29,0.028,3.217616021567495,0.59,11.6,1
441,6.68,0.033,3.3,0.69,10.4,1
442,6.53,0.026,3.43,0.65,12.9,1
443,7.56,0.048,3.26,0.54,9.3,1
444,7.500000000000001,0.031,3.2,0.33,11.0,1
445,7.74,0.038,3.24,0.4,11.5,0
446,6.35,0.054,3.53,0.42,12.4,0
447,7.15,0.048,3.44,0.53,9.8,1
448,7.15,0.048,3.44,0.53,9.8,1
449,6.970000000000001,0.052,3.48,0.56,10.5,1
450,8.0,0.07,3.03,0.54,9.1,0
451,6.55,0.038,3.24,0.44,10.1,0
452,6.5,0.042,3.46,0.51,10.6,1
453,6.539999999999999,0.046,3.41,0.51,10.5,1
454,6.970000000000001,0.052,3.48,0.56,10.5,1
455,7.050000000000001,0.048,3.44,0.53,9.8,1
456,6.84,0.022,3.3,0.4,12.9,1
457,7.58,0.056,2.95,0.52,9.5,0
458,6.69,0.053,3.29,0.72,9.8,1
459,6.879999999999999,0.059,3.37,0.5,8.5,0
460,7.58,0.056,2.95,0.52,9.5,0
461,7.54,0.047,3.22,0.45,9.3,0
462,6.340000000000001,0.047,3.35,0.38,9.5,0
463,7.33,0.044,3.17,0.39,9.4,1
464,8.209999999999999,0.047,3.16,0.5,8.7,0
465,7.09,0.081,2.95,0.46,8.9,0
466,7.46,0.039,3.22,0.43,9.4,1
467,7.33,0.044,3.17,0.39,9.4,1
468,8.209999999999999,0.047,3.16,0.5,8.7,0
469,8.02,0.047,3.09,0.52,9.6,0
470,9.669999999999998,0.039,3.0,0.73,9.3,1
471,7.22,0.036,3.14,0.76,10.0,0
472,7.13,0.023,3.25,0.45,12.5,1
473,7.4799999999999995,0.034,3.36,0.48,9.6,1
474,5.88,0.03,3.24,0.36,9.4,1
475,7.75,0.029,3.03,0.61,9.5,0
476,8.040000000000001,0.028,2.99,0.39,12.4,1
477,7.5,0.037,3.11,0.55,10.5,1
478,7.779999999999999,0.073,2.97,0.58,9.2,1
479,6.85,0.041,3.32,0.56,10.4,1
480,7.51,0.043,3.22,0.6,9.2,0
481,6.670000000000001,0.047,3.33,0.51,10.6,1
482,6.29,0.044,3.34,0.42,9.5,0
483,7.51,0.043,3.22,0.6,9.2,0
484,6.87,0.346,3.29,0.58,9.6,0
485,6.76,0.028,3.47,0.54,9.7,1
486,6.53,0.025,3.46,0.51,9.7,1
487,7.22,0.035,3.1,0.42,10.7,1
488,7.98,0.045,3.34,0.68,10.5,1
489,7.97,0.047,3.13,0.45,8.9,1
490,7.640000000000001,0.035,3.09,0.46,12.1,1
491,7.72,0.032,3.25,0.4,12.7,1
492,8.25,0.039,3.18,0.46,9.9,1
493,6.7700000000000005,0.022,3.2,0.64,11.4,1
494,7.38,0.04,3.37,0.58,10.7,1
495,6.2700000000000005,0.025,3.33,0.48,12.5,1
496,8.22,0.041,3.08,0.49,8.6,0
497,7.3500000000000005,0.026,3.29,0.54,12.5,1
498,6.375,0.04,3.27,0.66,10.0,0
499,8.22,0.041,3.08,0.49,8.6,0
500,8.02,0.045,3.08,0.49,9.5,1
501,7.57,0.038,3.12,0.48,9.6,1
502,7.0,0.038,3.2,0.62,9.9,1
503,7.09,0.037,3.19,0.62,9.9,0
504,8.29,0.053,3.06,0.53,8.9,1
505,8.29,0.053,3.06,0.53,8.9,1
506,8.07,0.09,3.01,0.52,8.8,0
507,6.51,0.048,3.64,0.54,10.0,1
508,6.800000000000001,0.039,3.44,0.44,12.0,1
509,6.51,0.048,3.64,0.54,10.0,1
510,7.090000000000001,0.041,3.21,0.42,10.0,1
511,8.49,0.042,3.11,0.41,12.1,1
512,7.92,0.04,3.16,0.59,11.0,1
513,8.09,0.025,3.21,0.33,11.2,1
514,8.4,0.036,3.17,0.39,10.3,1
515,6.669999999999999,0.051,3.37,0.47,10.4,1
516,7.35,0.055,3.08,0.45,9.1,0
517,7.970000000000001,0.045,3.0,0.6,10.4,1
518,7.618813330764785,0.05,3.43,0.64,10.8,1
519,7.88,0.048,3.19,0.4,11.7,0
520,8.35,0.039,3.05,0.74,9.8,0
521,8.499183201695242,0.039,3.05,0.74,9.8,0
522,7.550000000000001,0.038,3.03,0.39,11.4,1
523,6.48,0.033,3.03,0.38,11.2,1
524,6.319999999999999,0.038,3.37,0.34,11.4,0
525,6.61,0.114,3.09,0.45,9.2,1
526,7.97,0.04,3.04,0.53,12.5,0
527,6.6,0.034,3.36,0.44,12.6,1
528,5.58,0.031,3.44,0.35,12.2,1
529,6.26,0.03,3.56,0.45,11.2,1
530,6.85,0.048,3.43,0.79,9.7,1
531,7.0600000000000005,0.186,3.06,0.4,9.3,0
532,8.01,0.067,3.01,0.48,9.0,1
533,8.01,0.067,3.01,0.48,9.0,1
534,8.01,0.067,3.01,0.48,9.0,1
535,8.755,0.047,3.09,0.51,9.1,0
536,8.755,0.047,3.09,0.51,9.1,0
537,8.01,0.067,3.01,0.48,9.0,1
538,6.64,0.045,3.31,0.54,10.4,0
539,7.29,0.053,3.37,0.67,9.5,1
540,7.319999999999999,0.04,3.46,0.55,11.4,0
541,8.31,0.05,3.16,0.42,8.7,0
542,6.199999999999999,0.045,3.34,0.68,9.9,1
543,7.3500000000000005,0.036,3.22,0.62,9.9,1
544,7.25,0.047,3.21,0.51,9.0,1
545,6.78,0.04,3.49,0.58,10.0,1
546,6.8,0.039,3.49,0.64,9.7,1
547,8.34,0.052,3.3,0.49,11.8,1
